Brand,Model,Processor,RAM (GB),Storage (GB),Screen Size (inches),Graphics Card,Operating System,Weight (kg),Battery Life (hours),Price ($),Warranty (years)
Acer,Model 1622,Intel i9,32,512,17.0,AMD Radeon,Windows 11,2.48,4.4,1932.48,3
Lenovo,Model 1623,AMD Ryzen 9,64,2048,13.3,NVIDIA GTX 1650,Linux,2.24,13.6,2229.38,2
Acer,Model 1624,AMD Ryzen 7,8,256,15.6,NVIDIA GTX 1650,macOS,3.36,8.3,1690.49,3
MSI,Model 1625,AMD Ryzen 7,64,256,17.0,NVIDIA GTX 1650,Windows 11,2.87,10.5,2550.11,3
Dell,Model 1626,Intel i5,32,512,13.3,AMD Radeon,Linux,2.83,8.9,1532.0,2
Dell,Model 1627,Intel i5,64,256,17.0,AMD Radeon,Linux,1.12,13.5,2145.25,1
MSI,Model 1628,Intel i5,16,2048,13.3,Intel UHD,Windows 10,2.37,9.6,1915.58,3
Acer,Model 1629,AMD Ryzen 9,64,1024,17.0,NVIDIA RTX 3070,Windows 10,2.17,8.8,2483.72,1
MSI,Model 1630,AMD Ryzen 7,32,512,17.0,NVIDIA RTX 3070,Windows 11,3.32,14.1,2629.21,3
Apple,Model 1631,AMD Ryzen 7,32,256,14.0,Intel UHD,Windows 10,1.64,11.6,2110.85,1
Razer,Model 1632,AMD Ryzen 7,32,2048,13.3,NVIDIA RTX 3070,Windows 11,1.67,4.3,2735.37,3
MSI,Model 1633,Intel i9,64,2048,13.3,AMD Radeon,Windows 11,2.03,5.1,2689.99,1
Asus,Model 1634,AMD Ryzen 7,16,256,13.3,NVIDIA RTX 3070,Windows 11,1.61,12.4,1858.78,1
MSI,Model 1635,Intel i9,8,2048,13.3,AMD Radeon,Windows 10,1.32,13.0,2323.85,3
Dell,Model 1636,Intel i5,16,2048,17.0,Intel UHD,macOS,3.14,9.5,1453.83,1
Asus,Model 1637,Intel i5,64,512,14.0,NVIDIA GTX 1650,Windows 11,2.4,9.7,1986.84,3
Dell,Model 1638,AMD Ryzen 9,64,2048,14.0,Intel UHD,macOS,3.15,10.6,2646.58,3
HP,Model 1639,Intel i5,8,256,15.6,NVIDIA RTX 3070,Linux,3.08,8.3,1585.57,2
Lenovo,Model 1640,AMD Ryzen 9,64,512,13.3,AMD Radeon,Windows 10,1.71,11.2,2113.03,3
Dell,Model 1641,Intel i7,32,256,15.6,NVIDIA RTX 3070,Windows 10,2.37,4.3,2442.93,3
Asus,Model 1642,Intel i7,32,1024,17.0,NVIDIA RTX 3070,macOS,1.21,14.5,2461.75,3
HP,Model 1643,AMD Ryzen 5,32,256,15.6,NVIDIA GTX 1650,Linux,3.29,12.0,1827.66,3
Dell,Model 1644,AMD Ryzen 9,32,256,13.3,NVIDIA RTX 3070,Linux,2.01,10.6,2109.64,2
Apple,Model 1645,AMD Ryzen 5,32,512,14.0,NVIDIA GTX 1650,Windows 11,1.98,6.8,2379.85,2
MSI,Model 1646,AMD Ryzen 5,64,2048,14.0,AMD Radeon,Windows 10,1.76,4.9,2304.23,2
Lenovo,Model 1647,Intel i7,8,256,13.3,AMD Radeon,Linux,2.15,7.9,1578.76,2
Dell,Model 1648,AMD Ryzen 9,8,512,17.0,NVIDIA GTX 1650,Linux,1.63,10.9,1962.21,1
HP,Model 1649,Intel i7,32,1024,13.3,Intel UHD,Windows 11,1.94,10.6,2250.43,3
Apple,Model 1650,AMD Ryzen 5,64,512,17.0,AMD Radeon,Windows 11,3.0,7.6,2639.74,2
Acer,Model 1651,AMD Ryzen 9,16,512,14.0,Intel UHD,macOS,3.09,10.4,1521.07,3
HP,Model 1652,AMD Ryzen 5,16,2048,17.0,AMD Radeon,Windows 10,1.76,12.8,1905.96,2
MSI,Model 1653,AMD Ryzen 7,64,256,13.3,AMD Radeon,Linux,2.17,3.3,2131.13,3
HP,Model 1654,AMD Ryzen 9,32,1024,13.3,NVIDIA RTX 3060,macOS,3.18,8.4,2080.17,1
Apple,Model 1655,AMD Ryzen 9,8,512,13.3,NVIDIA RTX 3070,Windows 10,1.13,12.1,2728.79,2
HP,Model 1656,AMD Ryzen 5,64,256,17.0,NVIDIA RTX 3070,macOS,3.22,9.6,2235.87,1
Apple,Model 1657,AMD Ryzen 7,16,256,17.0,Intel UHD,Windows 10,1.55,10.8,2359.04,1
Dell,Model 1658,Intel i9,16,512,17.0,NVIDIA RTX 3070,Windows 10,2.7,9.2,2228.82,3
Razer,Model 1659,Intel i7,16,256,14.0,Intel UHD,Linux,2.46,14.9,2222.48,2
Apple,Model 1660,AMD Ryzen 5,32,512,15.6,AMD Radeon,Windows 10,2.38,3.7,2357.67,1
Apple,Model 1661,AMD Ryzen 9,16,512,15.6,NVIDIA RTX 3060,Windows 11,3.15,8.9,2661.59,3
Lenovo,Model 1662,Intel i7,64,512,13.3,NVIDIA RTX 3060,Linux,1.25,4.1,1903.02,3
Apple,Model 1663,Intel i7,64,1024,14.0,AMD Radeon,Windows 11,1.87,4.9,2708.13,3
Apple,Model 1664,Intel i7,16,512,17.0,NVIDIA GTX 1650,macOS,2.35,7.6,2514.35,1
Acer,Model 1665,Intel i9,64,2048,13.3,NVIDIA GTX 1650,macOS,3.03,4.9,2239.07,3
Razer,Model 1666,Intel i5,16,256,14.0,NVIDIA RTX 3070,Windows 10,1.54,14.6,2308.9,3
Dell,Model 1667,AMD Ryzen 5,16,1024,13.3,Intel UHD,Windows 10,3.01,14.4,1572.48,3
MSI,Model 1668,Intel i5,8,256,14.0,NVIDIA RTX 3060,Windows 11,2.0,7.0,1888.49,1
Lenovo,Model 1669,Intel i5,32,1024,14.0,NVIDIA RTX 3070,Windows 11,1.47,10.7,2178.31,3
Acer,Model 1670,Intel i5,32,2048,15.6,AMD Radeon,Windows 11,2.9,9.4,1519.36,1
Asus,Model 1671,Intel i7,8,1024,13.3,NVIDIA RTX 3060,macOS,1.23,12.8,1976.38,3
Razer,Model 1672,AMD Ryzen 7,8,1024,17.0,Intel UHD,Windows 11,2.29,10.5,1919.74,1
Dell,Model 1673,Intel i7,32,1024,15.6,Intel UHD,Linux,1.16,3.0,1586.84,1
Dell,Model 1674,Intel i7,16,256,15.6,NVIDIA GTX 1650,Linux,1.89,12.2,2058.11,2
Asus,Model 1675,AMD Ryzen 9,16,512,17.0,NVIDIA RTX 3070,macOS,2.5,12.0,2106.45,2
MSI,Model 1676,AMD Ryzen 9,32,256,14.0,AMD Radeon,Windows 11,2.39,9.1,2227.87,2
Apple,Model 1677,Intel i5,16,512,17.0,NVIDIA RTX 3060,Windows 11,2.01,13.8,2654.6,1
Acer,Model 1678,Intel i7,8,256,13.3,Intel UHD,Windows 10,2.07,13.9,1548.85,3
HP,Model 1679,Intel i5,16,2048,17.0,NVIDIA RTX 3060,Linux,1.57,9.3,2042.16,3
Lenovo,Model 1680,AMD Ryzen 9,16,2048,14.0,AMD Radeon,macOS,2.14,10.3,1849.66,1
HP,Model 1681,AMD Ryzen 7,64,1024,17.0,NVIDIA RTX 3060,Windows 11,3.38,15.0,2496.77,3
Asus,Model 1682,AMD Ryzen 5,64,2048,14.0,NVIDIA RTX 3070,Windows 10,3.13,6.6,2192.44,1
Dell,Model 1683,Intel i5,64,1024,14.0,NVIDIA GTX 1650,macOS,1.36,6.9,2148.35,3
MSI,Model 1684,AMD Ryzen 7,16,512,13.3,NVIDIA RTX 3060,macOS,1.07,5.2,1834.14,1
Dell,Model 1685,AMD Ryzen 5,32,2048,17.0,NVIDIA GTX 1650,Linux,3.33,13.8,2235.15,2
Lenovo,Model 1686,Intel i9,8,512,17.0,AMD Radeon,Windows 11,2.32,11.9,1676.81,2
Dell,Model 1687,Intel i5,16,256,13.3,NVIDIA GTX 1650,macOS,2.34,4.3,1538.47,3
Dell,Model 1688,Intel i5,32,512,14.0,NVIDIA RTX 3060,Windows 10,2.95,14.8,2064.29,3
Lenovo,Model 1689,Intel i9,16,256,17.0,NVIDIA RTX 3060,Windows 10,1.79,11.8,2077.96,3
Acer,Model 1690,Intel i9,8,512,13.3,Intel UHD,macOS,2.2,13.2,1659.8,3
Acer,Model 1691,Intel i5,16,512,14.0,NVIDIA RTX 3060,Windows 10,3.42,3.6,1310.76,2
Lenovo,Model 1692,Intel i9,8,2048,13.3,NVIDIA GTX 1650,macOS,2.68,9.1,2027.19,2
MSI,Model 1693,Intel i7,16,512,17.0,Intel UHD,Windows 10,1.38,11.4,1663.7,1
Asus,Model 1694,AMD Ryzen 5,8,2048,13.3,NVIDIA RTX 3060,macOS,1.33,9.5,2000.46,3
Razer,Model 1695,AMD Ryzen 5,16,2048,15.6,NVIDIA RTX 3060,macOS,1.51,11.0,2822.64,2
Dell,Model 1696,AMD Ryzen 5,8,1024,14.0,AMD Radeon,macOS,2.92,12.8,1377.75,1
MSI,Model 1697,Intel i7,64,1024,15.6,Intel UHD,Windows 10,1.74,7.5,2123.84,1
Dell,Model 1698,Intel i9,16,256,15.6,AMD Radeon,macOS,1.05,13.2,1966.49,1
Razer,Model 1699,AMD Ryzen 7,16,512,14.0,AMD Radeon,Linux,3.36,5.0,1982.34,2
Asus,Model 1700,Intel i9,32,256,14.0,AMD Radeon,macOS,1.42,6.3,1819.69,1
Acer,Model 1701,Intel i5,32,512,13.3,NVIDIA RTX 3070,Windows 11,1.02,3.5,1888.88,3
MSI,Model 1702,AMD Ryzen 9,8,1024,14.0,AMD Radeon,Windows 11,1.59,7.4,1995.21,1
Apple,Model 1703,AMD Ryzen 5,16,1024,15.6,NVIDIA GTX 1650,Linux,1.59,7.6,2415.45,1
Apple,Model 1704,Intel i9,8,512,15.6,NVIDIA RTX 3060,macOS,2.06,12.7,2802.37,2
Razer,Model 1705,AMD Ryzen 7,64,512,17.0,NVIDIA RTX 3070,Windows 11,3.3,10.8,2777.61,1
Apple,Model 1706,Intel i5,32,1024,14.0,AMD Radeon,macOS,3.2,8.2,2365.49,2
Acer,Model 1707,Intel i7,8,1024,15.6,NVIDIA RTX 3060,Windows 11,2.14,10.8,2070.98,2
Razer,Model 1708,Intel i7,8,256,17.0,Intel UHD,Windows 10,2.03,3.6,1950.3,3
Acer,Model 1709,AMD Ryzen 7,32,1024,17.0,Intel UHD,Windows 10,2.39,5.2,1290.82,1
Asus,Model 1710,Intel i5,16,512,13.3,NVIDIA RTX 3060,Linux,1.61,10.5,1934.96,3
Dell,Model 1711,AMD Ryzen 5,8,256,15.6,NVIDIA GTX 1650,Linux,1.13,10.7,1666.64,3
Asus,Model 1712,Intel i9,32,512,13.3,NVIDIA RTX 3060,macOS,3.35,12.3,1728.4,1
Asus,Model 1713,Intel i5,16,2048,15.6,NVIDIA RTX 3060,Linux,1.47,7.8,1987.51,1
Acer,Model 1714,Intel i7,64,256,13.3,NVIDIA RTX 3070,macOS,1.5,11.7,2181.6,2
Razer,Model 1715,AMD Ryzen 7,32,512,13.3,Intel UHD,Windows 10,2.18,11.2,2021.02,1
Razer,Model 1716,AMD Ryzen 7,8,1024,14.0,Intel UHD,Windows 10,2.23,14.6,2107.2,2
Apple,Model 1717,Intel i9,64,2048,13.3,AMD Radeon,Windows 11,1.05,5.6,3160.77,3
HP,Model 1718,AMD Ryzen 7,16,512,14.0,NVIDIA RTX 3060,macOS,1.37,9.6,2085.42,3
Dell,Model 1719,AMD Ryzen 7,16,256,17.0,NVIDIA RTX 3060,Windows 10,1.95,10.2,1896.08,2
Acer,Model 1720,Intel i5,32,512,15.6,NVIDIA GTX 1650,Windows 10,2.71,15.0,1543.37,1
Apple,Model 1721,AMD Ryzen 5,32,2048,17.0,Intel UHD,macOS,1.57,5.4,2337.47,1
MSI,Model 1722,Intel i9,32,256,15.6,NVIDIA GTX 1650,Windows 11,2.06,9.3,2354.32,2
HP,Model 1723,Intel i5,16,2048,17.0,NVIDIA RTX 3070,Windows 11,2.39,7.2,2284.91,3
HP,Model 1724,AMD Ryzen 5,64,512,15.6,AMD Radeon,Windows 11,3.22,9.3,1751.18,2
Acer,Model 1725,Intel i5,16,1024,13.3,NVIDIA GTX 1650,Windows 11,1.82,5.8,1429.7,1
Lenovo,Model 1726,AMD Ryzen 9,8,1024,15.6,Intel UHD,Windows 10,1.33,3.6,1355.01,1
Dell,Model 1727,Intel i5,16,512,15.6,NVIDIA RTX 3070,macOS,2.22,9.9,2077.71,2
HP,Model 1728,AMD Ryzen 7,8,512,17.0,NVIDIA RTX 3060,macOS,2.87,7.0,1781.09,1
Acer,Model 1729,AMD Ryzen 5,64,512,17.0,NVIDIA RTX 3070,Windows 10,1.27,5.2,2486.73,3
Acer,Model 1730,Intel i9,32,256,17.0,NVIDIA GTX 1650,Windows 10,2.06,6.9,1751.98,2
Apple,Model 1731,Intel i9,32,2048,14.0,Intel UHD,Windows 10,1.04,3.6,2708.2,3
MSI,Model 1732,AMD Ryzen 5,16,2048,14.0,NVIDIA GTX 1650,Linux,1.08,14.4,2240.09,3
Lenovo,Model 1733,AMD Ryzen 7,32,2048,15.6,NVIDIA RTX 3060,macOS,2.21,10.0,2121.32,2
Dell,Model 1734,Intel i7,64,512,15.6,NVIDIA RTX 3060,macOS,1.75,12.8,2572.79,2
Razer,Model 1735,Intel i5,32,2048,13.3,Intel UHD,macOS,3.11,8.1,1788.85,1
Asus,Model 1736,AMD Ryzen 7,16,512,13.3,AMD Radeon,Windows 11,2.51,13.8,1374.35,1
MSI,Model 1737,AMD Ryzen 9,64,256,15.6,NVIDIA RTX 3070,Windows 10,2.13,8.8,2579.03,2
MSI,Model 1738,AMD Ryzen 5,8,1024,14.0,NVIDIA RTX 3070,Windows 10,2.02,9.9,2337.85,2
Apple,Model 1739,Intel i5,16,512,15.6,NVIDIA RTX 3060,Windows 10,2.24,8.9,2572.29,1
Razer,Model 1740,Intel i9,8,512,13.3,NVIDIA GTX 1650,Linux,1.1,11.8,2229.13,1
HP,Model 1741,Intel i7,64,1024,14.0,NVIDIA GTX 1650,macOS,3.23,9.8,2043.08,1
HP,Model 1742,AMD Ryzen 9,16,1024,14.0,AMD Radeon,Windows 10,3.5,6.3,1706.61,2
Apple,Model 1743,Intel i9,16,256,13.3,NVIDIA GTX 1650,Linux,1.45,4.7,2599.18,2
Acer,Model 1744,AMD Ryzen 5,64,2048,15.6,NVIDIA RTX 3070,Windows 10,1.3,10.3,2199.6,1
HP,Model 1745,Intel i5,32,512,17.0,NVIDIA GTX 1650,Windows 11,1.36,8.9,1842.66,3
Lenovo,Model 1746,AMD Ryzen 5,16,2048,15.6,AMD Radeon,macOS,2.65,4.2,1805.48,3
Dell,Model 1747,Intel i5,16,512,15.6,NVIDIA RTX 3070,Linux,2.65,7.7,1906.46,1
MSI,Model 1748,AMD Ryzen 7,8,256,13.3,NVIDIA GTX 1650,Windows 10,3.12,9.2,1790.04,2
MSI,Model 1749,Intel i7,32,1024,14.0,NVIDIA RTX 3070,macOS,2.88,12.9,2698.06,2
Lenovo,Model 1750,AMD Ryzen 7,8,256,13.3,NVIDIA RTX 3060,Linux,2.12,3.9,1241.62,3
Razer,Model 1751,AMD Ryzen 7,8,1024,15.6,NVIDIA RTX 3060,macOS,2.53,7.2,2343.08,1
HP,Model 1752,AMD Ryzen 5,32,2048,17.0,NVIDIA RTX 3060,macOS,2.72,12.9,2194.79,3
MSI,Model 1753,Intel i7,32,2048,17.0,NVIDIA GTX 1650,Windows 11,2.28,10.8,2204.41,3
Asus,Model 1754,Intel i5,64,256,17.0,AMD Radeon,macOS,2.19,6.5,1781.98,1
Razer,Model 1755,Intel i5,32,1024,13.3,NVIDIA RTX 3070,Linux,2.61,13.1,2828.75,3
Dell,Model 1756,AMD Ryzen 9,16,256,14.0,Intel UHD,macOS,2.39,8.9,1593.68,2
Dell,Model 1757,Intel i9,32,1024,13.3,NVIDIA RTX 3060,Linux,2.61,9.0,2504.13,3
MSI,Model 1758,AMD Ryzen 9,64,1024,17.0,NVIDIA RTX 3060,macOS,2.53,14.7,2971.74,1
Apple,Model 1759,AMD Ryzen 9,64,2048,15.6,Intel UHD,Windows 10,2.8,14.4,3162.44,2
Razer,Model 1760,Intel i5,64,2048,14.0,Intel UHD,Windows 11,2.61,7.3,2630.29,2
MSI,Model 1761,AMD Ryzen 5,32,1024,13.3,NVIDIA GTX 1650,Windows 10,2.3,4.7,2120.42,3
Apple,Model 1762,AMD Ryzen 7,32,1024,13.3,NVIDIA RTX 3070,Windows 11,2.7,6.9,2812.42,2
MSI,Model 1763,AMD Ryzen 7,8,1024,14.0,NVIDIA RTX 3060,Linux,2.12,3.4,1728.51,1
Asus,Model 1764,AMD Ryzen 7,8,2048,14.0,AMD Radeon,Windows 11,1.6,3.2,1703.29,3
Razer,Model 1765,Intel i7,16,2048,15.6,NVIDIA GTX 1650,macOS,1.0,7.7,2326.21,2
Acer,Model 1766,Intel i5,8,512,14.0,NVIDIA GTX 1650,macOS,2.4,14.3,1569.94,1
Dell,Model 1767,AMD Ryzen 5,16,1024,15.6,AMD Radeon,Windows 10,2.48,13.5,1775.52,3
MSI,Model 1768,Intel i7,64,512,17.0,AMD Radeon,Windows 11,3.43,9.1,2251.58,1
Asus,Model 1769,Intel i9,8,1024,17.0,AMD Radeon,Linux,1.9,9.8,1941.32,2
Apple,Model 1770,AMD Ryzen 5,32,2048,13.3,Intel UHD,Linux,1.99,3.1,2407.64,3
Apple,Model 1771,AMD Ryzen 9,8,512,17.0,NVIDIA RTX 3060,macOS,1.5,5.6,2914.06,3
Dell,Model 1772,AMD Ryzen 5,16,512,17.0,Intel UHD,Linux,1.18,3.3,1383.7,2
Lenovo,Model 1773,AMD Ryzen 5,8,256,15.6,NVIDIA RTX 3060,macOS,2.93,12.1,1562.89,1
MSI,Model 1774,AMD Ryzen 7,64,1024,13.3,Intel UHD,macOS,1.62,4.7,2055.93,2
Razer,Model 1775,AMD Ryzen 5,32,2048,14.0,NVIDIA RTX 3070,macOS,2.52,13.4,2650.4,3
HP,Model 1776,AMD Ryzen 9,16,256,13.3,NVIDIA RTX 3060,Windows 10,2.72,10.7,1897.33,3
Apple,Model 1777,AMD Ryzen 9,32,256,17.0,NVIDIA GTX 1650,Windows 10,2.18,5.8,2508.64,2
Razer,Model 1778,Intel i5,32,1024,14.0,NVIDIA RTX 3060,macOS,3.19,4.9,2126.1,1
Razer,Model 1779,AMD Ryzen 5,16,256,13.3,NVIDIA RTX 3060,macOS,2.11,10.5,2081.64,2
Acer,Model 1780,AMD Ryzen 7,32,1024,13.3,NVIDIA RTX 3060,macOS,1.71,13.8,1658.25,1
Razer,Model 1781,AMD Ryzen 5,32,256,13.3,NVIDIA RTX 3070,Linux,3.24,11.6,2347.33,1
Razer,Model 1782,Intel i9,8,1024,13.3,Intel UHD,macOS,3.15,7.2,1944.89,3
Acer,Model 1783,Intel i9,32,2048,15.6,NVIDIA GTX 1650,macOS,1.41,10.0,2137.81,1
Apple,Model 1784,AMD Ryzen 7,32,1024,13.3,Intel UHD,Windows 11,1.06,6.7,2451.07,3
Razer,Model 1785,Intel i5,32,1024,17.0,Intel UHD,Windows 11,1.22,15.0,1912.17,1
Lenovo,Model 1786,Intel i5,32,512,17.0,AMD Radeon,Windows 11,1.72,12.0,1492.62,1
Lenovo,Model 1787,AMD Ryzen 9,16,2048,15.6,NVIDIA RTX 3070,Windows 11,3.43,10.4,2208.18,3
Asus,Model 1788,AMD Ryzen 9,64,2048,14.0,AMD Radeon,macOS,2.4,8.1,2227.58,1
Acer,Model 1789,Intel i7,8,2048,14.0,NVIDIA RTX 3070,Windows 11,1.93,10.4,2261.07,2
Asus,Model 1790,AMD Ryzen 7,32,256,17.0,Intel UHD,Linux,3.22,7.1,1185.82,1
Acer,Model 1791,AMD Ryzen 5,32,512,17.0,Intel UHD,Linux,2.13,3.3,1409.35,3
MSI,Model 1792,AMD Ryzen 7,16,2048,15.6,NVIDIA RTX 3070,Windows 11,1.79,7.7,2572.08,3
MSI,Model 1793,Intel i7,64,256,14.0,Intel UHD,Windows 10,3.35,14.2,2290.1,2
Razer,Model 1794,AMD Ryzen 9,32,256,14.0,Intel UHD,Linux,3.12,10.5,2094.08,1
HP,Model 1795,AMD Ryzen 7,16,256,13.3,NVIDIA GTX 1650,Linux,3.11,4.0,1385.2,2
MSI,Model 1796,AMD Ryzen 7,8,512,13.3,AMD Radeon,Windows 11,2.28,13.6,1726.74,1
HP,Model 1797,AMD Ryzen 9,8,256,13.3,AMD Radeon,Windows 11,2.97,6.2,1403.2,2
MSI,Model 1798,Intel i7,32,512,15.6,AMD Radeon,macOS,1.45,5.9,2291.7,3
Dell,Model 1799,AMD Ryzen 9,32,1024,17.0,NVIDIA RTX 3060,Linux,2.43,6.6,2309.6,3
MSI,Model 1800,Intel i5,64,256,15.6,NVIDIA GTX 1650,Windows 11,3.46,9.9,2387.68,2
Asus,Model 1801,AMD Ryzen 5,64,2048,14.0,AMD Radeon,Windows 11,1.73,9.5,2018.4,1
Apple,Model 1802,AMD Ryzen 9,32,256,17.0,AMD Radeon,macOS,2.99,8.9,2297.04,1
Razer,Model 1803,Intel i7,16,1024,13.3,NVIDIA GTX 1650,Linux,2.23,11.6,2110.34,3
Asus,Model 1804,Intel i9,64,1024,15.6,Intel UHD,Windows 11,1.1,6.8,1820.13,1
Apple,Model 1805,Intel i5,32,256,15.6,AMD Radeon,macOS,2.91,12.4,2018.38,2
Lenovo,Model 1806,Intel i9,64,1024,13.3,Intel UHD,Windows 11,1.42,5.1,2071.37,2
Asus,Model 1807,AMD Ryzen 9,32,512,15.6,AMD Radeon,Windows 10,2.58,12.4,1858.91,1
Lenovo,Model 1808,Intel i5,8,512,13.3,NVIDIA RTX 3070,Windows 10,1.21,11.0,1591.22,3
HP,Model 1809,AMD Ryzen 5,32,256,14.0,NVIDIA RTX 3060,Windows 11,3.37,11.2,2046.86,3
HP,Model 1810,AMD Ryzen 9,8,512,17.0,AMD Radeon,Linux,1.73,8.8,1726.14,3
Dell,Model 1811,AMD Ryzen 5,64,512,14.0,NVIDIA RTX 3070,Windows 10,1.57,11.0,2498.02,3
MSI,Model 1812,AMD Ryzen 7,32,2048,14.0,NVIDIA GTX 1650,macOS,1.32,4.0,2547.23,3
Asus,Model 1813,Intel i9,64,256,13.3,NVIDIA RTX 3070,Windows 11,3.37,13.2,2644.13,2
Lenovo,Model 1814,Intel i5,8,1024,15.6,NVIDIA GTX 1650,macOS,2.78,3.7,1238.62,1
Apple,Model 1815,AMD Ryzen 5,32,256,14.0,AMD Radeon,Windows 10,2.85,4.8,2028.72,2
HP,Model 1816,Intel i7,64,512,14.0,NVIDIA GTX 1650,Linux,2.25,9.9,1859.53,3
MSI,Model 1817,AMD Ryzen 5,8,2048,14.0,NVIDIA RTX 3070,macOS,2.19,11.9,2339.23,3
HP,Model 1818,Intel i7,64,256,15.6,NVIDIA RTX 3060,Windows 10,1.28,3.9,2143.03,1
Apple,Model 1819,AMD Ryzen 9,16,256,15.6,Intel UHD,Windows 10,2.4,14.0,2099.32,1
MSI,Model 1820,Intel i5,8,512,13.3,Intel UHD,Windows 10,1.62,14.7,1547.81,1
MSI,Model 1821,AMD Ryzen 5,8,512,14.0,NVIDIA RTX 3060,macOS,3.44,10.3,1929.23,2
Lenovo,Model 1822,AMD Ryzen 5,8,256,17.0,Intel UHD,Windows 10,2.99,8.8,1126.07,1
Lenovo,Model 1823,Intel i5,32,512,15.6,AMD Radeon,Windows 11,2.03,11.9,1474.6,2
Asus,Model 1824,AMD Ryzen 5,32,512,13.3,AMD Radeon,Windows 10,1.38,6.9,1677.4,3
Asus,Model 1825,Intel i7,32,512,14.0,NVIDIA RTX 3070,Windows 11,2.96,8.9,2174.19,2
Acer,Model 1826,AMD Ryzen 5,16,512,17.0,NVIDIA RTX 3070,Linux,1.31,14.0,1643.84,1
Razer,Model 1827,Intel i9,16,512,15.6,NVIDIA GTX 1650,Windows 11,1.47,14.5,2667.14,2
Acer,Model 1828,AMD Ryzen 9,8,2048,17.0,NVIDIA RTX 3070,Linux,1.53,14.1,2226.71,2
Dell,Model 1829,AMD Ryzen 7,16,512,15.6,AMD Radeon,Linux,2.39,6.1,1645.53,2
HP,Model 1830,Intel i7,64,1024,13.3,NVIDIA RTX 3070,Windows 11,2.97,5.8,2461.03,1
Asus,Model 1831,Intel i9,8,256,17.0,Intel UHD,Linux,1.79,6.6,1634.78,2
Lenovo,Model 1832,AMD Ryzen 9,8,2048,14.0,NVIDIA GTX 1650,Windows 11,1.21,8.3,1925.27,1
Apple,Model 1833,Intel i5,64,2048,14.0,NVIDIA GTX 1650,macOS,2.16,6.8,2787.87,2
Lenovo,Model 1834,Intel i7,8,512,15.6,AMD Radeon,Linux,2.87,7.5,1388.63,2
HP,Model 1835,AMD Ryzen 7,16,256,14.0,NVIDIA RTX 3070,Windows 11,1.55,10.4,2074.63,2
Acer,Model 1836,AMD Ryzen 9,32,1024,17.0,Intel UHD,Linux,1.55,12.2,1504.04,1
Lenovo,Model 1837,AMD Ryzen 7,64,512,13.3,NVIDIA RTX 3070,Windows 10,3.37,11.8,2218.28,1
Razer,Model 1838,Intel i5,16,256,15.6,NVIDIA RTX 3060,Windows 11,3.39,12.8,2084.82,1
Dell,Model 1839,Intel i5,64,512,17.0,NVIDIA RTX 3070,Windows 10,3.48,3.4,2264.38,3
HP,Model 1840,Intel i7,64,512,15.6,AMD Radeon,Linux,3.02,3.6,1869.72,1
Acer,Model 1841,AMD Ryzen 5,8,512,13.3,NVIDIA RTX 3070,Linux,1.47,12.5,1433.22,2
Razer,Model 1842,Intel i5,8,512,15.6,NVIDIA GTX 1650,macOS,1.53,9.4,1955.29,3
Apple,Model 1843,AMD Ryzen 9,16,512,14.0,Intel UHD,Windows 11,1.85,9.9,2228.23,1
Acer,Model 1844,AMD Ryzen 5,64,512,14.0,AMD Radeon,Windows 10,1.8,3.6,1579.78,1
MSI,Model 1845,Intel i9,8,512,15.6,NVIDIA RTX 3060,macOS,3.39,6.1,2109.55,3
Razer,Model 1846,AMD Ryzen 7,8,1024,13.3,Intel UHD,Linux,2.97,10.7,2220.16,3
Razer,Model 1847,AMD Ryzen 5,64,2048,13.3,Intel UHD,Linux,2.81,13.3,2297.37,1
Dell,Model 1848,AMD Ryzen 7,16,1024,14.0,NVIDIA GTX 1650,macOS,1.46,14.0,2113.62,3
HP,Model 1849,AMD Ryzen 5,16,512,13.3,NVIDIA GTX 1650,Windows 10,3.27,9.0,1569.08,2
Apple,Model 1850,Intel i9,64,512,15.6,NVIDIA GTX 1650,Linux,3.07,9.5,2803.57,2
Dell,Model 1851,Intel i5,16,1024,17.0,AMD Radeon,Linux,1.41,13.0,2006.5,2
Acer,Model 1852,Intel i9,8,1024,15.6,NVIDIA RTX 3070,Windows 11,3.18,9.5,1770.85,1
Dell,Model 1853,Intel i5,64,2048,14.0,Intel UHD,macOS,1.68,9.2,2187.87,2
Razer,Model 1854,Intel i5,8,1024,14.0,NVIDIA RTX 3070,Linux,1.2,13.9,2663.19,3
HP,Model 1855,AMD Ryzen 7,32,2048,14.0,NVIDIA RTX 3070,Windows 10,2.64,12.5,2304.51,2
Asus,Model 1856,AMD Ryzen 9,32,512,13.3,NVIDIA GTX 1650,Windows 11,2.63,13.9,2165.97,3
Dell,Model 1857,Intel i9,16,256,15.6,NVIDIA RTX 3070,macOS,1.24,5.6,2205.29,2
MSI,Model 1858,AMD Ryzen 5,32,256,17.0,Intel UHD,Windows 10,1.8,9.3,1950.2,3
Dell,Model 1859,Intel i9,8,256,15.6,Intel UHD,Linux,3.48,13.1,1740.75,2
Acer,Model 1860,AMD Ryzen 7,32,256,17.0,NVIDIA RTX 3060,macOS,2.7,4.3,1700.75,2
Acer,Model 1861,Intel i5,8,512,15.6,AMD Radeon,macOS,2.83,12.5,1378.72,2
